X,Y,Z,C,
166.823,-168.25,3390,0,
166.823,-168.25,3390.2,0,
166.823,-168.25,3390.4,0,
166.823,-168.25,3390.6,0,
166.823,-168.25,3390.8,0,
166.823,-168.25,3391,0,
166.823,-168.25,3391.2,0,
166.823,-168.25,3391.4,0,
166.823,-168.25,3391.6,0,
166.823,-168.25,3391.8,0,
166.823,-168.25,3392,0,
166.823,-168.25,3392.2,0,
166.823,-168.25,3392.4,0,
166.823,-168.25,3392.6,0,
166.823,-168.25,3392.8,0,
166.823,-168.25,3393,0,
166.823,-168.25,3393.2,0,
166.823,-168.25,3393.4,0,
166.823,-168.25,3393.6,0,
166.823,-168.25,3393.8,0,
166.823,-168.25,3394,0,
166.823,-168.25,3394.2,0,
166.823,-168.25,3394.4,0,
166.823,-168.25,3394.6,0,
166.823,-168.25,3394.8,0,
166.823,-168.25,3395,0,
166.823,-168.25,3395.2,0,
166.823,-168.25,3395.4,0,
166.823,-168.25,3395.6,0,
166.823,-168.25,3395.8,0,
166.823,-168.25,3396,0,
166.823,-168.25,3396.2,0,
166.823,-168.25,3396.4,0,
166.823,-168.25,3396.6,0,
166.823,-168.25,3396.8,0,
166.823,-168.25,3397,0,
166.823,-168.25,3397.2,0,
166.823,-168.25,3397.4,0,
166.823,-168.25,3397.6,0,
166.823,-168.25,3397.8,0,
166.823,-168.25,3398,0,
166.823,-168.25,3398.2,0,
166.823,-168.25,3398.4,0,
166.823,-168.25,3398.6,0,
166.823,-168.25,3398.8,0,
166.823,-168.25,3399,0,
166.823,-168.25,3399.2,0,
166.823,-168.25,3399.4,0,
166.823,-168.25,3399.6,0,
166.823,-168.25,3399.8,0,
166.823,-168.25,3400,0,
166.823,-168.25,3400.2,0,
166.823,-168.25,3400.4,0,
