p1,v1,p2,v2,p3,v3,p4,v4,dt
360.0,0.0,111.58785304474023,-19.090739956212133,-159.25641241202217,443.04756535122635,-330.5625,-258.75,50
360.0,0.0,110.63331604692962,13.43970392672702,-137.10403414446085,477.8484488745863,-343.5,-281.25,50
360.0,0.0,111.30530124326597,53.96210538064423,-113.21161170073154,515.1609856946819,-357.5625,-303.75,50
360.0,0.0,114.00340651229818,103.69563188993567,-87.45356241599744,555.425942452862,-372.75,-326.25,50
360.0,0.0,119.18818810679497,163.93266053465396,-59.682265293354334,598.7360099340904,-389.0625,-348.75,50
360.0,0.0,127.38482113352767,235.79235961889964,-29.745464796649813,644.5387562236308,-406.5,-371.25,50
360.0,0.0,139.17443911447265,319.7659097051155,2.48147301453173,691.1688592916644,-425.0625,-393.75,50
360.0,0.0,155.16273459972842,414.99713598773724,37.03991597911495,735.2191936112024,-444.75,-416.25000000000114,50
360.0,0.0,175.91259139911529,518.3692112675692,73.80087565967507,770.9204345689008,-465.56250000000006,-438.74999999999886,50
360.0,0.0,201.83105196249375,591.7082250179698,112.34689738812011,752.2562382984285,-487.5,-438.75,50
360.0,0.0,231.41646321339223,615.81246074651,149.95970930304154,679.617877784014,-509.4375,-416.25,50
360.0,0.0,262.20708625071774,617.189668909698,183.94060319224224,596.793905296937,-530.25,-393.75,50
360.0,0.0,293.06656969620263,600.3447308062891,213.7802984570891,509.5656932952909,-549.9375,-371.25,50
360.0,0.0,323.0838062365171,570.7436953265142,239.25858312185363,423.6877847662481,-568.5,-348.75,50
360.0,0.0,351.6209910028428,533.4748231005904,260.44297236016604,343.6335534766579,-585.9375,-326.25,50
360.0,0.0,378.2947321578723,492.494905168719,277.62465003399893,272.1500300135574,-602.25,-303.75,50
360.0,0.0,402.91947741630827,450.46515904625494,291.2321515346768,210.43067253063555,-617.4375,-281.25,50
360.0,0.0,425.442735368621,408.9386268276917,301.7536851612086,158.55658440424918,-631.5,-258.75,50
360.0,0.0,445.8896667100056,368.6647604137829,309.68151438142104,115.94600044314802,-644.4375,-236.25,50
360.0,0.0,464.32290473069475,329.87535376182336,315.47881440357844,81.6964175223552,-656.25,-213.75,50
360.0,0.0,480.8166724187859,292.5028969901223,319.5636352796962,54.8021703209929,-666.9375,-191.25,50
360.0,0.0,495.441817268292,256.3295961469021,322.30374379574585,34.272290045282716,-676.5,-168.75,50
360.0,0.0,508.25829707563713,221.08218094099925,324.01735829801,19.1814631105467,-684.9375,-146.25,50
360.0,0.0,519.3124061226871,186.48922840806108,324.9764314535373,8.681321143671994,-692.25,-123.75,50
360.0,0.0,528.6368675430901,152.3139498952719,325.4104975107209,1.9910936301494075,-698.4375,-101.25000000000227,50
360.0,0.0,536.2525650378537,118.3708891186916,325.5100521922284,-1.620151006713968,-703.5000000000001,-78.74999999999773,50
360.0,0.0,542.1711094937883,84.53143452084078,325.4290446418927,-2.85220756218564,-707.4375,-56.25,50
360.0,0.0,546.3976812198304,50.720821483100735,325.2864342637834,-2.3891259169351997,-710.25,-33.75,50
