X,Y,Z,C,,
166.823,-168.25,3372,90,,
166.823,-168.25,3372.2,90,,
166.823,-168.25,3372.4,90,,
166.823,-168.25,3372.6,90,,
166.823,-168.25,3372.8,90,,
166.823,-168.25,3373,90,,
166.823,-168.25,3373.2,90,,
166.823,-168.25,3373.4,90,,
166.823,-168.25,3373.6,90,,
166.823,-168.25,3373.8,90,,
166.823,-168.25,3374,90,,
166.823,-168.25,3374.2,90,,
166.823,-168.25,3374.4,90,,
166.823,-168.25,3374.6,90,,
166.823,-168.25,3374.8,90,,
166.823,-168.25,3375,90,,
166.823,-168.25,3375.2,90,,
166.823,-168.25,3375.4,90,,
166.823,-168.25,3375.6,90,,
166.823,-168.25,3375.8,90,,
166.823,-168.25,3376,90,,
166.823,-168.25,3376.2,90,,
166.823,-168.25,3376.4,90,,
166.823,-168.25,3376.6,90,,
166.823,-168.25,3376.8,90,,
166.823,-168.25,3377,90,,
166.823,-168.25,3377.2,90,,
166.823,-168.25,3377.4,90,,
166.823,-168.25,3377.6,90,,
166.823,-168.25,3377.8,90,,
166.823,-168.25,3378,90,,
166.823,-168.25,3378.2,90,,
166.823,-168.25,3378.4,90,,
166.823,-168.25,3378.6,90,,
166.823,-168.25,3378.8,90,,
166.823,-168.25,3379,90,,
166.823,-168.25,3379.2,90,,
166.823,-168.25,3379.4,90,,
166.823,-168.25,3379.6,90,,
166.823,-168.25,3379.8,90,,
166.823,-168.25,3380,90,,
166.823,-168.25,3380.2,90,,
166.823,-168.25,3380.4,90,,
166.823,-168.25,3380.6,90,,
166.823,-168.25,3380.8,90,,
166.823,-168.25,3381,90,,
166.823,-168.25,3381.2,90,,
166.823,-168.25,3381.4,90,,
166.823,-168.25,3381.6,90,,
166.823,-168.25,3381.8,90,,
166.823,-168.25,3382,90,,
166.823,-168.25,3382.2,90,,
166.823,-168.25,3382.4,90,,
166.823,-168.25,3382.6,90,,
166.823,-168.25,3382.8,90,,
166.823,-168.25,3383,90,,
166.823,-168.25,3383.2,90,,
166.823,-168.25,3383.4,90,,
166.823,-168.25,3383.6,90,,
166.823,-168.25,3383.8,90,,
166.823,-168.25,3384,90,,
166.823,-168.25,3384.2,90,,
166.823,-168.25,3384.4,90,,
166.823,-168.25,3384.6,90,,
166.823,-168.25,3384.8,90,,
166.823,-168.25,3385,90,,
166.823,-168.25,3385.2,90,,
166.823,-168.25,3385.4,90,,
166.823,-168.25,3385.6,90,,
166.823,-168.25,3385.8,90,,
166.823,-168.25,3386,90,,
166.823,-168.25,3386.2,90,,
166.823,-168.25,3386.4,90,,
166.823,-168.25,3386.6,90,,
166.823,-168.25,3386.8,90,,
166.823,-168.25,3387,90,,
166.823,-168.25,3387.2,90,,
166.823,-168.25,3387.4,90,,
166.823,-168.25,3387.6,90,,
166.823,-168.25,3387.8,90,,
166.823,-168.25,3388,90,,
166.823,-168.25,3388.2,90,,
166.823,-168.25,3388.4,90,,
166.823,-168.25,3388.6,90,,
166.823,-168.25,3388.8,90,,
166.823,-168.25,3389,90,,
166.823,-168.25,3389.2,90,,
166.823,-168.25,3389.4,90,,
166.823,-168.25,3389.6,90,,
166.823,-168.25,3389.8,90,,
166.823,-168.25,3390,90,,
166.823,-168.25,3390.2,90,,
166.823,-168.25,3390.4,90,,
166.823,-168.25,3390.6,90,,
166.823,-168.25,3390.8,90,,
166.823,-168.25,3391,90,,
166.823,-168.25,3391.2,90,,
166.823,-168.25,3391.4,90,,
166.823,-168.25,3391.6,90,,
166.823,-168.25,3391.8,90,,
166.823,-168.25,3392,90,,
166.823,-168.25,3392.2,90,,
166.823,-168.25,3392.4,90,,
166.823,-168.25,3392.6,90,,
166.823,-168.25,3392.8,90,,
166.823,-168.25,3393,90,,
166.823,-168.25,3393.2,90,,
166.823,-168.25,3393.4,90,,
166.823,-168.25,3393.6,90,,
166.823,-168.25,3393.8,90,,
166.823,-168.25,3394,90,,
166.823,-168.25,3394.2,90,,
166.823,-168.25,3394.4,90,,
166.823,-168.25,3394.6,90,,
166.823,-168.25,3394.8,90,,
166.823,-168.25,3395,90,,
166.823,-168.25,3395.2,90,,
166.823,-168.25,3395.4,90,,
166.823,-168.25,3395.6,90,,
166.823,-168.25,3395.8,90,,
166.823,-168.25,3396,90,,
166.823,-168.25,3396.2,90,,
166.823,-168.25,3396.4,90,,
166.823,-168.25,3396.6,90,,
166.823,-168.25,3396.8,90,,
166.823,-168.25,3397,90,,
166.823,-168.25,3397.2,90,,
166.823,-168.25,3397.4,90,,
166.823,-168.25,3397.6,90,,
166.823,-168.25,3397.8,90,,
166.823,-168.25,3398,90,,
166.823,-168.25,3398.2,90,,
166.823,-168.25,3398.4,90,,
166.823,-168.25,3398.6,90,,
166.823,-168.25,3398.8,90,,
166.823,-168.25,3399,90,,
166.823,-168.25,3399.2,90,,
166.823,-168.25,3399.4,90,,
166.823,-168.25,3399.6,90,,
166.823,-168.25,3399.8,90,,
166.823,-168.25,3400,90,,
166.823,-168.25,3400.2,90,,
166.823,-168.25,3400.4,90,,
166.823,-168.25,3400.6,90,,
166.823,-168.25,3400.8,90,,
166.823,-168.25,3401,90,,
166.823,-168.25,3401.2,90,,
166.823,-168.25,3401.4,90,,
166.823,-168.25,3401.6,90,,
166.823,-168.25,3401.8,90,,
166.823,-168.25,3402,90,,
166.823,-168.25,3402.2,90,,
166.823,-168.25,3402.4,90,,
166.823,-168.25,3402.6,90,,
166.823,-168.25,3402.8,90,,
166.823,-168.25,3403,90,,
166.823,-168.25,3403.2,90,,
166.823,-168.25,3403.4,90,,
166.823,-168.25,3403.6,90,,
166.823,-168.25,3403.8,90,,
166.823,-168.25,3404,90,,
166.823,-168.25,3404.2,90,,
166.823,-168.25,3404.4,90,,
166.823,-168.25,3404.6,90,,
166.823,-168.25,3404.8,90,,
166.823,-168.25,3405,90,,
166.823,-168.25,3405.2,90,,
166.823,-168.25,3405.4,90,,
166.823,-168.25,3405.6,90,,
166.823,-168.25,3405.8,90,,
166.823,-168.25,3406,90,,
166.823,-168.25,3406.2,90,,
166.823,-168.25,3406.4,90,,
166.823,-168.25,3406.6,90,,
166.823,-168.25,3406.8,90,,
166.823,-168.25,3407,90,,
166.823,-168.25,3407.2,90,,
166.823,-168.25,3407.4,90,,
166.823,-168.25,3407.6,90,,
166.823,-168.25,3407.8,90,,
166.823,-168.25,3408,90,,
166.823,-168.25,3408.2,90,,
166.823,-168.25,3408.4,90,,
166.823,-168.25,3408.6,90,,
166.823,-168.25,3408.8,90,,
166.823,-168.25,3409,90,,
166.823,-168.25,3409.2,90,,
